iso_code,gdp_per_capita
AFG,1803.987
ALB,11803.431
DZA,13913.839
ASM,19673.0
AND,41992.0
AGO,5819.495
AIA,28561.0
ATG,21490.943
ARG,18933.907
ARM,8787.58
ABW,35973.781
AUS,44648.71
AUT,45436.686
AZE,15847.419
BHS,27717.847
BHR,43290.705
BGD,3523.984
BRB,16978.068
BLR,17167.967
BEL,42658.576
BLZ,7824.362
BEN,2064.236
BMU,50669.315
BTN,8708.597
BOL,6885.829
BES,27000.0
BIH,11713.895
BWA,15807.374
BRA,14103.452
VGB,34246.0
BRN,71809.251
BGR,18563.307
BFA,1703.102
BDI,702.225
KHM,3645.07
CMR,3364.926
CAN,44017.591
CPV,6222.554
CYM,49903.029
CAF,661.24
TCD,1768.153
CHL,22767.037
CHN,15308.712
COL,13254.949
COM,1413.89
COG,4881.406
COK,18806.0
CRI,15524.995
CIV,3601.006
HRV,22669.797
CUB,7449.0
CUW,20502.0
CYP,32415.132
CZE,32605.906
COD,808.133
DNK,46682.515
DJI,2705.406
DMA,9673.367
DOM,14600.861
ECU,10581.936
EGY,10550.206
SLV,7292.458
GNQ,22604.873
ERI,1510.459
EST,29481.252
SWZ,7738.975
ETH,1729.927
FRO,66979.0
FLK,70800.0
FJI,8702.975
FIN,40585.721
FRA,38605.671
GUF,17928.0
PYF,22000.0
GAB,16562.413
GMB,1561.767
GEO,9745.079
DEU,45229.245
GHA,4227.63
GIB,71787.0
GRC,24574.382
GRL,57116.0
GRD,13593.877
GLP,24300.0
GUM,35600.0
GTM,7423.808
GGY,52761.0
GIN,1998.926
GNB,1548.675
GUY,7435.047
HTI,1653.173
HND,4541.795
HUN,26777.561
ISL,46482.958
IND,6426.674
IDN,11188.744
IRN,19082.62
IRQ,15663.986
IRL,67335.293
IMN,79530.0
ISR,33132.32
ITA,35220.084
JAM,8193.571
JPN,39002.223
JEY,45320.0
JOR,8337.49
KAZ,24055.588
KEN,2993.028
KIR,1981.132
OWID_KOS,9795.834
KWT,65530.537
KGZ,3393.474
LAO,6397.36
LVA,25063.846
LBN,13367.565
LSO,2851.153
LBR,752.788
LBY,17881.509
LIE,197504.0
LTU,29524.265
LUX,94277.965
MDG,1416.44
MWI,1095.042
MYS,26808.164
MDV,15183.616
MLI,2014.306
MLT,36513.323
MHL,3819.202
MTQ,29353.32
MRT,3597.633
MUS,20292.745
MYT,12204.0
MEX,17336.469
FSM,3299.464
MDA,5189.972
MCO,239437.0
MNG,11840.846
MNE,16409.288
MSR,16461.0
MAR,7485.013
MOZ,1136.103
MMR,5591.597
NAM,9541.808
NRU,12895.635
NPL,2442.804
NLD,48472.545
NCL,35745.0
NZL,36085.843
NIC,5321.444
NER,926.0
NGA,5338.454
NIU,19464.0
PRK,639.0
MKD,13111.214
MNP,17300.0
NOR,64800.057
OMN,37960.709
PAK,5034.708
PLW,13240.405
PSE,4449.898
PAN,22267.037
PNG,3823.194
PRY,8827.01
PER,12236.706
PHL,7599.188
PCN,2429.0
POL,27216.445
PRT,27936.896
PRI,35044.67
QAT,116935.6
REU,18517.68
ROU,23313.199
RUS,24765.954
RWA,1854.211
BLM,42113.52
SHN,7800.0
KNA,24654.385
LCA,12951.839
MAF,20321.0
SPM,46200.0
VCT,10727.146
WSM,6021.557
SMR,56861.47
STP,3052.714
SAU,49045.411
SEN,2470.58
SRB,14048.881
SYC,26382.287
SLE,1390.3
SGP,85535.383
SXM,36327.232
SVK,30155.152
SVN,31400.84
SLB,2205.923
SOM,592.0
ZAF,12294.876
KOR,35938.374
SSD,1569.888
ESP,34272.36
LKA,11669.077
SDN,4466.507
SUR,13767.119
SWE,46949.283
CHE,57410.166
SYR,421.0
TJK,2896.913
TZA,2683.304
THA,16277.671
TLS,6570.102
TGO,1429.813
TKL,7445.0
TON,5425.621
TTO,28763.071
TUN,10849.297
TUR,25129.341
TKM,16389.023
TCA,24918.0
TUV,3575.104
UGA,1697.707
UKR,7894.393
ARE,67293.483
GBR,39753.244
USA,54225.446
VIR,41976.0
URY,20551.409
UZB,6253.104
VUT,2921.909
VAT,21198.0
VEN,16745.022
VNM,6171.884
WLF,10908.0
YEM,1479.147
ZMB,3689.251
ZWE,1899.775
