days_passed,new_cases,total_cases,new_cases_smoothed,total_cases_smoothed,new_deaths,total_deaths,new_deaths_smoothed,total_deaths_smoothed,new_vaccinations_smoothed,total_vaccinations,total_vaccinations_smooth,new_people_vaccinated_smoothed,total_people_vaccinated,total_people_vaccinated_smooth,people_fully_vaccinated,people_fully_vaccinated_smooth,total_boosters,total_boosters_smooth,reproduction_rate,excess_mortality,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6701181467071415,565.0,4898.0,-57.0,2503.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-6.0,-3.0,-3.0,-6.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6701181467071415,565.0,4898.0,-57.0,2503.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-9.0,-3.0,-3.0,-9.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6701181467071415,565.0,4898.0,-57.0,2503.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-12.0,-3.0,-3.0,-12.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6701181467071415,565.0,4898.0,-57.0,2503.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-15.0,-3.0,-3.0,-15.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6701181467071415,565.0,4898.0,-57.0,2503.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-18.0,-3.0,-3.0,-18.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6701181467071415,565.0,4898.0,-57.0,2503.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-21.0,-3.0,-3.0,-21.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6701181467071415,565.0,4898.0,-57.0,2503.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-24.0,-3.0,-3.0,-24.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6697350606410422,565.0,4898.0,-57.0,2503.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-27.0,-3.0,-3.0,-27.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6697350606410422,565.0,4898.0,-57.0,2503.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-30.0,-3.0,-3.0,-30.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6697350606410422,565.0,4898.0,-57.0,2503.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-33.0,-3.0,-3.0,-33.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6697350606410422,565.0,4898.0,-57.0,2503.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-36.0,-3.0,-3.0,-36.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6697350606410422,565.0,4898.0,-57.0,2503.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-39.0,-3.0,-3.0,-39.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6697350606410422,565.0,4898.0,-57.0,2503.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-42.0,-3.0,-3.0,-42.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6697350606410422,565.0,4898.0,-57.0,2503.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-45.0,-3.0,-3.0,-45.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6698174355466245,565.0,4898.0,-57.0,2503.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-48.0,-3.0,-3.0,-48.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6698174355466245,565.0,4898.0,-57.0,2503.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-51.0,-3.0,-3.0,-51.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6698174355466245,565.0,4898.0,-57.0,2503.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-54.0,-3.0,-3.0,-54.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6698174355466245,565.0,4898.0,-57.0,2503.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-57.0,-3.0,-3.0,-57.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6698174355466245,565.0,4898.0,-57.0,2503.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-60.0,-3.0,-3.0,-60.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6698174355466245,565.0,4898.0,-57.0,2503.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-63.0,-3.0,-3.0,-63.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6698174355466245,565.0,4898.0,-57.0,2503.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-66.0,-3.0,-3.0,-66.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6701770062850058,565.0,4898.0,-57.0,2503.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-69.0,-3.0,-3.0,-69.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6701770062850058,565.0,4898.0,-57.0,2503.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-72.0,-3.0,-3.0,-72.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6701770062850058,565.0,4898.0,-57.0,2503.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-75.0,-3.0,-3.0,-75.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6701770062850058,565.0,4898.0,-57.0,2503.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-78.0,-3.0,-3.0,-78.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6701770062850058,565.0,4898.0,-57.0,2503.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-81.0,-3.0,-3.0,-81.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6703487394359171,565.0,4898.0,-57.0,2503.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-84.0,-3.0,-3.0,-84.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6703487394359171,565.0,4898.0,-57.0,2503.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-87.0,-3.0,-3.0,-87.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6706735359927032,565.0,4898.0,-57.0,2503.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-90.0,-3.0,-3.0,-90.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6706735359927032,565.0,4898.0,-57.0,2503.0
