days_passed,new_cases,total_cases,new_cases_smoothed,total_cases_smoothed,new_deaths,total_deaths,new_deaths_smoothed,total_deaths_smoothed,new_vaccinations_smoothed,total_vaccinations,total_vaccinations_smooth,new_people_vaccinated_smoothed,total_people_vaccinated,total_people_vaccinated_smooth,people_fully_vaccinated,people_fully_vaccinated_smooth,total_boosters,total_boosters_smooth,reproduction_rate,excess_mortality,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-3.0,0.0,1.1810136273815235e-08,-5.9746743049400386e-06,1066.0,13045.0,321.0,4611.0
6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,-1.0,-1.0,-2.0,-1.0,0.0,-3.0,0.0,1.1810136273815235e-08,-5.9746743049400386e-06,1066.0,13045.0,321.0,4611.0
7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-3.0,-1.0,-1.0,-3.0,-1.0,0.0,-3.0,0.0,1.1810136273815235e-08,-5.9746743049400386e-06,1066.0,13045.0,321.0,4611.0
8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-4.0,-1.0,-1.0,-4.0,-1.0,0.0,-3.0,0.0,1.1810136273815235e-08,-5.9746743049400386e-06,1066.0,13045.0,321.0,4611.0
9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-5.0,-1.0,-1.0,-5.0,-1.0,0.0,-3.0,0.0,1.1810136273815235e-08,-5.9746743049400386e-06,1066.0,13045.0,321.0,4611.0
10,0.0,1.0,0.143,0.143,0.0,0.0,0.0,0.0,-1.0,-1.0,-6.0,-1.0,-1.0,-6.0,-1.0,0.0,-3.0,0.0,1.1810136273815235e-08,-5.9746743049400386e-06,1066.0,13045.0,321.0,4611.0
11,0.0,1.0,0.143,0.286,0.0,0.0,0.0,0.0,-1.0,-1.0,-7.0,-1.0,-1.0,-7.0,-1.0,0.0,-3.0,0.0,1.1810136273815235e-08,-5.9746743049400386e-06,1066.0,13045.0,321.0,4611.0
12,44.0,45.0,6.286,6.571999999999999,1.0,1.0,0.143,0.143,-1.0,-1.0,-8.0,-1.0,-1.0,-8.0,-1.0,0.0,-3.0,0.0,1.1810136273815235e-08,-5.9791492218840565e-06,1066.0,13045.0,321.0,4611.0
13,0.0,45.0,6.286,12.858,0.0,1.0,0.143,0.286,-1.0,-1.0,-9.0,-1.0,-1.0,-9.0,-1.0,0.0,-3.0,0.0,1.1810136273815235e-08,-5.9791492218840565e-06,1066.0,13045.0,321.0,4611.0
14,0.0,45.0,6.286,19.144,0.0,1.0,0.143,0.4289999999999999,-1.0,-1.0,-10.0,-1.0,-1.0,-10.0,-1.0,0.0,-3.0,0.0,1.1810136273815235e-08,-5.9791492218840565e-06,1066.0,13045.0,321.0,4611.0
15,0.0,45.0,6.286,25.43,0.0,1.0,0.143,0.572,-1.0,-1.0,-11.0,-1.0,-1.0,-11.0,-1.0,0.0,-3.0,0.0,1.1810136273815235e-08,-5.9791492218840565e-06,1066.0,13045.0,321.0,4611.0
16,0.0,45.0,6.286,31.716,0.0,1.0,0.143,0.715,-1.0,-1.0,-12.0,-1.0,-1.0,-12.0,-1.0,0.0,-3.0,0.0,1.1810136273815235e-08,-5.9791492218840565e-06,1066.0,13045.0,321.0,4611.0
17,0.0,45.0,6.286,38.002,0.0,1.0,0.143,0.858,-1.0,-1.0,-13.0,-1.0,-1.0,-13.0,-1.0,0.0,-3.0,0.0,1.1810136273815235e-08,-5.9791492218840565e-06,1066.0,13045.0,321.0,4611.0
18,0.0,45.0,6.286,44.288,0.0,1.0,0.143,1.001,-1.0,-1.0,-14.0,-1.0,-1.0,-14.0,-1.0,0.0,-3.0,0.0,1.1810136273815235e-08,-5.9791492218840565e-06,1066.0,13045.0,321.0,4611.0
19,88.0,133.0,12.572000000000001,56.86000000000001,2.0,3.0,0.286,1.287,-1.0,-1.0,-15.0,-1.0,-1.0,-15.0,-1.0,0.0,-3.0,0.0,1.1810136273815235e-08,-5.9751701902622715e-06,1066.0,13045.0,321.0,4611.0
20,0.0,133.0,12.572000000000001,69.432,0.0,3.0,0.286,1.573,-1.0,-1.0,-16.0,-1.0,-1.0,-16.0,-1.0,0.0,-3.0,0.0,1.1810136273815235e-08,-5.9751701902622715e-06,1066.0,13045.0,321.0,4611.0
21,0.0,133.0,12.572000000000001,82.004,0.0,3.0,0.286,1.859,-1.0,-1.0,-17.0,-1.0,-1.0,-17.0,-1.0,0.0,-3.0,0.0,1.1810136273815235e-08,-5.9751701902622715e-06,1066.0,13045.0,321.0,4611.0
22,0.0,133.0,12.572000000000001,94.57600000000001,0.0,3.0,0.286,2.145,-1.0,-1.0,-18.0,-1.0,-1.0,-18.0,-1.0,0.0,-3.0,0.0,1.1810136273815235e-08,-5.9751701902622715e-06,1066.0,13045.0,321.0,4611.0
23,0.0,133.0,12.572000000000001,107.14800000000001,0.0,3.0,0.286,2.431,-1.0,-1.0,-19.0,-1.0,-1.0,-19.0,-1.0,0.0,-3.0,0.0,1.2413562991232889e-08,-5.9751701902622715e-06,1066.0,13045.0,321.0,4611.0
24,0.0,133.0,12.572000000000001,119.72,0.0,3.0,0.286,2.717,-1.0,-1.0,-20.0,-1.0,-1.0,-20.0,-1.0,0.0,-3.0,0.0,1.2485257254688447e-08,-5.9751701902622715e-06,1066.0,13045.0,321.0,4611.0
25,0.0,133.0,12.572000000000001,132.292,0.0,3.0,0.286,3.003,-1.0,-1.0,-21.0,-1.0,-1.0,-21.0,-1.0,0.0,-3.0,0.0,1.255097699618938e-08,-5.9751701902622715e-06,1066.0,13045.0,321.0,4611.0
26,1879.0,2011.0,268.42800000000005,400.72,53.0,56.0,7.571,10.574,-1.0,-1.0,-22.0,-1.0,-1.0,-22.0,-1.0,0.0,-3.0,0.0,1.2577862344985214e-08,-5.9782142091981566e-06,1066.0,13045.0,321.0,4611.0
27,0.0,2011.0,268.42800000000005,669.1480000000001,0.0,56.0,7.571,18.145,-1.0,-1.0,-23.0,-1.0,-1.0,-23.0,-1.0,0.0,-3.0,0.0,1.259877317182642e-08,-5.9782142091981566e-06,1066.0,13045.0,321.0,4611.0
28,0.0,2011.0,268.42800000000005,937.576,0.0,56.0,7.571,25.716,-1.0,-1.0,-24.0,-1.0,-1.0,-24.0,-1.0,0.0,-3.0,0.0,1.2604747693781053e-08,-5.9782142091981566e-06,1066.0,13045.0,321.0,4611.0
29,0.0,2011.0,268.42800000000005,1206.0040000000001,0.0,56.0,7.571,33.287,-1.0,-1.0,-25.0,-1.0,-1.0,-25.0,-1.0,0.0,-3.0,0.0,1.2488244515665763e-08,-5.9782142091981566e-06,1066.0,13045.0,321.0,4611.0
30,0.0,2011.0,268.42800000000005,1474.4320000000002,0.0,56.0,7.571,40.858,-1.0,-1.0,-26.0,-1.0,-1.0,-26.0,-1.0,0.0,-3.0,0.0,1.2416550252210203e-08,-5.9782142091981566e-06,1066.0,13045.0,321.0,4611.0
31,0.0,2011.0,268.42800000000005,1742.86,0.0,56.0,7.571,48.429,-1.0,-1.0,-27.0,-1.0,-1.0,-27.0,-1.0,0.0,-3.0,0.0,1.2347843249731952e-08,-5.969383865749213e-06,1066.0,13045.0,321.0,4611.0
32,0.0,2011.0,268.42800000000005,2011.288,0.0,56.0,7.571,55.99999999999999,-1.0,-1.0,-28.0,-1.0,-1.0,-28.0,-1.0,0.0,-3.0,0.0,1.2306021596049542e-08,-5.969383865749213e-06,1066.0,13045.0,321.0,4611.0
33,12504.0,14515.0,1786.2839999999997,3797.572,306.0,362.0,43.714,99.714,-1.0,-1.0,-29.0,-1.0,-1.0,-29.0,-1.0,0.0,-3.0,0.0,1.2279136247253707e-08,-5.969808056807992e-06,1066.0,13045.0,321.0,4611.0
34,0.0,14515.0,1786.2839999999997,5583.855999999999,0.0,362.0,43.714,143.428,-1.0,-1.0,-30.0,-1.0,-1.0,-30.0,-1.0,0.0,-3.0,0.0,1.2204454722820828e-08,-5.969808056807992e-06,1066.0,13045.0,321.0,4611.0
35,0.0,14515.0,1786.2839999999997,7370.140000000001,0.0,362.0,43.714,187.142,-1.0,-1.0,-31.0,-1.0,-1.0,-31.0,-1.0,0.0,-3.0,0.0,1.2132760459365267e-08,-5.969808056807992e-06,1066.0,13045.0,321.0,4611.0
