days_passed,new_cases,total_cases,new_cases_smoothed,total_cases_smoothed,new_deaths,total_deaths,new_deaths_smoothed,total_deaths_smoothed,new_vaccinations_smoothed,total_vaccinations,total_vaccinations_smooth,new_people_vaccinated_smoothed,total_people_vaccinated,total_people_vaccinated_smooth,people_fully_vaccinated,people_fully_vaccinated_smooth,total_boosters,total_boosters_smooth,reproduction_rate,excess_mortality,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions
1,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.0,0.0,-3.0,0.0,0.0006309233685350664,-0.08398846784855288,5633.5,55363.5,2460.0,30869.0
2,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-2.0,-1.0,-1.0,-2.0,-3.0,0.0,-3.0,0.0,0.0006309233685350664,-0.08398846784855288,5633.5,55213.5,2396.0,30676.0
3,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-3.0,-1.0,-1.0,-3.0,-3.0,0.0,-3.0,0.0,0.0006309233685350664,-0.08398846784855288,5633.5,55363.5,2460.0,30869.0
4,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-4.0,-1.0,-1.0,-4.0,-3.0,0.0,-3.0,0.0,0.0006309233685350664,-0.08398846784855288,5633.5,55363.5,2460.0,30869.0
5,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-5.0,-1.0,-1.0,-5.0,-3.0,0.0,-3.0,0.0,0.0006309233685350664,-0.08398846784855288,5633.5,55363.5,2460.0,30869.0
6,0.0,1.0,0.143,0.143,0.0,3.0,0.429,0.429,-1.0,-1.0,-6.0,-1.0,-1.0,-6.0,-3.0,0.0,-3.0,0.0,0.0006309233685350664,-0.08398846784855288,5633.5,55363.5,2460.0,30869.0
7,0.0,1.0,0.143,0.286,0.0,3.0,0.429,0.858,-1.0,-1.0,-7.0,-1.0,-1.0,-7.0,-3.0,0.0,-3.0,0.0,0.0006309233685350664,-0.08398846784855288,5633.5,55363.5,2460.0,30869.0
8,1.0,2.0,0.143,0.42899999999999994,0.0,3.0,0.0,0.858,-1.0,-1.0,-8.0,-1.0,-1.0,-8.0,-3.0,0.0,-3.0,0.0,0.0006309233685350664,-0.0822568930090314,5633.5,55363.5,2460.0,30869.0
9,0.0,2.0,0.143,0.572,0.0,3.0,0.0,0.858,-1.0,-1.0,-9.0,-1.0,-1.0,-9.0,-3.0,0.0,-3.0,0.0,0.0006309233685350664,-0.0822568930090314,5633.5,55363.5,2460.0,30869.0
10,0.0,2.0,0.143,0.7149999999999999,0.0,3.0,0.0,0.858,-1.0,-1.0,-10.0,-1.0,-1.0,-10.0,-3.0,0.0,-3.0,0.0,0.0006309233685350664,-0.0822568930090314,5633.5,55363.5,2460.0,30869.0
