days_passed,new_cases,total_cases,new_cases_smoothed,total_cases_smoothed,new_deaths,total_deaths,new_deaths_smoothed,total_deaths_smoothed,new_vaccinations_smoothed,total_vaccinations,total_vaccinations_smooth,new_people_vaccinated_smoothed,total_people_vaccinated,total_people_vaccinated_smooth,people_fully_vaccinated,people_fully_vaccinated_smooth,total_boosters,total_boosters_smooth,reproduction_rate,excess_mortality,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.35713419587485884,8037.5,37863.0,-41.0,34748.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-14.0,-7.0,-7.0,-14.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.35713419587485884,8037.5,37863.0,-41.0,34748.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-21.0,-7.0,-7.0,-21.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.35713419587485884,8037.5,37863.0,-41.0,34748.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-28.0,-7.0,-7.0,-28.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.35713419587485884,8037.5,37863.0,-41.0,34748.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-35.0,-7.0,-7.0,-35.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.35713419587485884,8037.5,37863.0,-41.0,34748.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-42.0,-7.0,-7.0,-42.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.35713419587485884,8037.5,37863.0,-41.0,34748.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-49.0,-7.0,-7.0,-49.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.35713419587485884,8037.5,37863.0,-41.0,34748.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-56.0,-7.0,-7.0,-56.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.3575968377880367,8037.5,37863.0,-41.0,34748.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-63.0,-7.0,-7.0,-63.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.3575968377880367,8037.5,37863.0,-41.0,34748.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-70.0,-7.0,-7.0,-70.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.3575968377880367,8037.5,37863.0,-41.0,34748.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-77.0,-7.0,-7.0,-77.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.3575968377880367,8037.5,37863.0,-41.0,34748.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-84.0,-7.0,-7.0,-84.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.3575968377880367,8037.5,37863.0,-41.0,34748.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-91.0,-7.0,-7.0,-91.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.3575968377880367,8037.5,37863.0,-41.0,34748.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-98.0,-7.0,-7.0,-98.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.3575968377880367,8037.5,37863.0,-41.0,34748.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-105.0,-7.0,-7.0,-105.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.35721978958213624,8037.5,37863.0,-41.0,34748.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-112.0,-7.0,-7.0,-112.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.35721978958213624,8037.5,37863.0,-41.0,34748.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-119.0,-7.0,-7.0,-119.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.35721978958213624,8037.5,37863.0,-41.0,34748.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-126.0,-7.0,-7.0,-126.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.35721978958213624,8037.5,37863.0,-41.0,34748.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-133.0,-7.0,-7.0,-133.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.35721978958213624,8037.5,37863.0,-41.0,34748.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-140.0,-7.0,-7.0,-140.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.35721978958213624,8037.5,37863.0,-41.0,34748.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-147.0,-7.0,-7.0,-147.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.35721978958213624,8037.5,37863.0,-41.0,34748.0
22,8.0,8.0,1.143,1.143,0.0,0.0,0.0,0.0,-7.0,-7.0,-154.0,-7.0,-7.0,-154.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.3571104198450595,8037.5,37863.0,-41.0,34748.0
23,0.0,8.0,1.143,2.286,0.0,0.0,0.0,0.0,-7.0,-7.0,-161.0,-7.0,-7.0,-161.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.3571104198450595,8037.5,37863.0,-41.0,34748.0
24,0.0,8.0,1.143,3.429,0.0,0.0,0.0,0.0,-7.0,-7.0,-168.0,-7.0,-7.0,-168.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.3571104198450595,8037.5,37863.0,-41.0,34748.0
25,0.0,8.0,1.143,4.572,0.0,0.0,0.0,0.0,-7.0,-7.0,-175.0,-7.0,-7.0,-175.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.3571104198450595,8037.5,37863.0,-41.0,34748.0
26,0.0,8.0,1.143,5.715,0.0,0.0,0.0,0.0,-7.0,-7.0,-182.0,-7.0,-7.0,-182.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.3571104198450595,8037.5,37863.0,-41.0,34748.0
27,0.0,8.0,1.143,6.858,0.0,0.0,0.0,0.0,-7.0,-7.0,-189.0,-7.0,-7.0,-189.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.357663212537893,8037.5,37863.0,-41.0,34748.0
28,0.0,8.0,1.143,8.001,0.0,0.0,0.0,0.0,-7.0,-7.0,-196.0,-7.0,-7.0,-196.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.357663212537893,8037.5,37863.0,-41.0,34748.0
29,5.0,13.0,0.715,8.716,0.0,0.0,0.0,0.0,-7.0,-7.0,-203.0,-7.0,-7.0,-203.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.3577079907273483,8037.5,37863.0,-41.0,34748.0
30,0.0,13.0,0.715,9.431,0.0,0.0,0.0,0.0,-7.0,-7.0,-210.0,-7.0,-7.0,-210.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.3577079907273483,8037.5,37863.0,-41.0,34748.0
31,0.0,13.0,0.715,10.145999999999999,0.0,0.0,0.0,0.0,-7.0,-7.0,-217.0,-7.0,-7.0,-217.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.3577079907273483,8037.5,37863.0,-41.0,34748.0
32,0.0,13.0,0.715,10.860999999999999,0.0,0.0,0.0,0.0,-7.0,-7.0,-224.0,-7.0,-7.0,-224.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.3577079907273483,8037.5,37863.0,-41.0,34748.0
33,0.0,13.0,0.715,11.575999999999997,0.0,0.0,0.0,0.0,-7.0,-7.0,-231.0,-7.0,-7.0,-231.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.3577079907273483,8037.5,37863.0,-41.0,34748.0
34,0.0,13.0,0.715,12.290999999999997,0.0,0.0,0.0,0.0,-7.0,-7.0,-238.0,-7.0,-7.0,-238.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.3577079907273483,8037.5,37863.0,-41.0,34748.0
35,0.0,13.0,0.715,13.005999999999997,0.0,0.0,0.0,0.0,-7.0,-7.0,-245.0,-7.0,-7.0,-245.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.3577079907273483,8037.5,37863.0,-41.0,34748.0
36,14.0,27.0,2.0,15.005999999999997,0.0,0.0,0.0,0.0,-7.0,-7.0,-252.0,-7.0,-7.0,-252.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.3577820926868895,8037.5,37863.0,-41.0,34748.0
37,0.0,27.0,2.0,17.005999999999997,0.0,0.0,0.0,0.0,-7.0,-7.0,-259.0,-7.0,-7.0,-259.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.3577820926868895,8037.5,37863.0,-41.0,34748.0
38,0.0,27.0,2.0,19.005999999999997,0.0,0.0,0.0,0.0,-7.0,-7.0,-266.0,-7.0,-7.0,-266.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.3577820926868895,8037.5,37863.0,-41.0,34748.0
39,0.0,27.0,2.0,21.005999999999997,0.0,0.0,0.0,0.0,-7.0,-7.0,-273.0,-7.0,-7.0,-273.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.3577820926868895,8037.5,37863.0,-41.0,34748.0
40,0.0,27.0,2.0,23.005999999999997,0.0,0.0,0.0,0.0,-7.0,-7.0,-280.0,-7.0,-7.0,-280.0,-7.0,0.0,-11.0,0.0,5.418953458421668e-05,-0.3577820926868895,8037.5,37863.0,-41.0,34748.0
