days_passed,new_cases,total_cases,new_cases_smoothed,total_cases_smoothed,new_deaths,total_deaths,new_deaths_smoothed,total_deaths_smoothed,new_vaccinations_smoothed,total_vaccinations,total_vaccinations_smooth,new_people_vaccinated_smoothed,total_people_vaccinated,total_people_vaccinated_smooth,people_fully_vaccinated,people_fully_vaccinated_smooth,total_boosters,total_boosters_smooth,reproduction_rate,excess_mortality,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6432608989981046,25.0,977.0,-24.0,-24.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-12.0,-6.0,-6.0,-12.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6432608989981046,25.0,977.0,-24.0,-24.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-18.0,-6.0,-6.0,-18.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6432608989981046,25.0,977.0,-24.0,-24.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-24.0,-6.0,-6.0,-24.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6432608989981046,25.0,977.0,-24.0,-24.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-30.0,-6.0,-6.0,-30.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6432608989981046,25.0,977.0,-24.0,-24.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-36.0,-6.0,-6.0,-36.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6432608989981046,25.0,977.0,-24.0,-24.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-42.0,-6.0,-6.0,-42.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6432608989981046,25.0,977.0,-24.0,-24.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-48.0,-6.0,-6.0,-48.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6434270917952883,25.0,977.0,-24.0,-24.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-54.0,-6.0,-6.0,-54.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6434270917952883,25.0,977.0,-24.0,-24.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-60.0,-6.0,-6.0,-60.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6434270917952883,25.0,977.0,-24.0,-24.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-66.0,-6.0,-6.0,-66.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6434270917952883,25.0,977.0,-24.0,-24.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-72.0,-6.0,-6.0,-72.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6434270917952883,25.0,977.0,-24.0,-24.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-78.0,-6.0,-6.0,-78.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6434270917952883,25.0,977.0,-24.0,-24.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-84.0,-6.0,-6.0,-84.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6434270917952883,25.0,977.0,-24.0,-24.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-90.0,-6.0,-6.0,-90.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6429731925264013,25.0,977.0,-24.0,-24.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-96.0,-6.0,-6.0,-96.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6429731925264013,25.0,977.0,-24.0,-24.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-102.0,-6.0,-6.0,-102.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6429731925264013,25.0,977.0,-24.0,-24.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-108.0,-6.0,-6.0,-108.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6429731925264013,25.0,977.0,-24.0,-24.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-114.0,-6.0,-6.0,-114.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6429731925264013,25.0,977.0,-24.0,-24.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-120.0,-6.0,-6.0,-120.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6429731925264013,25.0,977.0,-24.0,-24.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-126.0,-6.0,-6.0,-126.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6429731925264013,25.0,977.0,-24.0,-24.0
26,4.0,4.0,0.571,0.571,0.0,0.0,0.0,0.0,-6.0,-6.0,-132.0,-6.0,-6.0,-132.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6430899675060926,25.0,977.0,-24.0,-24.0
27,0.0,4.0,0.571,1.142,0.0,0.0,0.0,0.0,-6.0,-6.0,-138.0,-6.0,-6.0,-138.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6430899675060926,25.0,977.0,-24.0,-24.0
28,0.0,4.0,0.571,1.713,0.0,0.0,0.0,0.0,-6.0,-6.0,-144.0,-6.0,-6.0,-144.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6430899675060926,25.0,977.0,-24.0,-24.0
29,0.0,4.0,0.571,2.284,0.0,0.0,0.0,0.0,-6.0,-6.0,-150.0,-6.0,-6.0,-150.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6430899675060926,25.0,977.0,-24.0,-24.0
30,0.0,4.0,0.571,2.8549999999999995,0.0,0.0,0.0,0.0,-6.0,-6.0,-156.0,-6.0,-6.0,-156.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6430899675060926,25.0,977.0,-24.0,-24.0
31,0.0,4.0,0.571,3.4259999999999997,0.0,0.0,0.0,0.0,-6.0,-6.0,-162.0,-6.0,-6.0,-162.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6437896019496344,25.0,977.0,-24.0,-24.0
32,0.0,4.0,0.571,3.996999999999999,0.0,0.0,0.0,0.0,-6.0,-6.0,-168.0,-6.0,-6.0,-168.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6437896019496344,25.0,977.0,-24.0,-24.0
33,8.0,12.0,1.143,5.139999999999999,0.0,0.0,0.0,0.0,-6.0,-6.0,-174.0,-6.0,-6.0,-174.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6437726780395342,25.0,977.0,-24.0,-24.0
34,0.0,12.0,1.143,6.282999999999999,0.0,0.0,0.0,0.0,-6.0,-6.0,-180.0,-6.0,-6.0,-180.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6437726780395342,25.0,977.0,-24.0,-24.0
35,0.0,12.0,1.143,7.425999999999998,0.0,0.0,0.0,0.0,-6.0,-6.0,-186.0,-6.0,-6.0,-186.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6437726780395342,25.0,977.0,-24.0,-24.0
36,0.0,12.0,1.143,8.568999999999999,0.0,0.0,0.0,0.0,-6.0,-6.0,-192.0,-6.0,-6.0,-192.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6437726780395342,25.0,977.0,-24.0,-24.0
37,0.0,12.0,1.143,9.712,0.0,0.0,0.0,0.0,-6.0,-6.0,-198.0,-6.0,-6.0,-198.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6437726780395342,25.0,977.0,-24.0,-24.0
