days_passed,new_cases,total_cases,new_cases_smoothed,total_cases_smoothed,new_deaths,total_deaths,new_deaths_smoothed,total_deaths_smoothed,new_vaccinations_smoothed,total_vaccinations,total_vaccinations_smooth,new_people_vaccinated_smoothed,total_people_vaccinated,total_people_vaccinated_smooth,people_fully_vaccinated,people_fully_vaccinated_smooth,total_boosters,total_boosters_smooth,reproduction_rate,stringency_index,excess_mortality,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions
1,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,-3.87,1311.5,-1.0,938.0,5456.0
2,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,-3.87,1311.5,-1.0,938.0,5456.0
3,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,-3.87,1311.5,-1.0,938.0,5456.0
4,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,-3.87,1311.5,-1.0,938.0,5456.0
5,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,-3.87,1311.5,-1.0,938.0,5456.0
6,0.0,1.0,0.143,0.143,0.0,3.0,0.429,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,-3.87,1311.5,-1.0,938.0,5456.0
7,0.0,1.0,0.143,0.286,0.0,3.0,0.429,0.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,-3.87,1311.5,-1.0,938.0,5456.0
8,0.0,1.0,0.0,0.286,0.0,3.0,0.0,0.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,-2.79,1311.5,-1.0,938.0,5456.0
9,0.0,1.0,0.0,0.286,0.0,3.0,0.0,0.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,-2.79,1311.5,-1.0,938.0,5456.0
10,0.0,1.0,0.0,0.286,0.0,3.0,0.0,0.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,-2.79,1311.5,-1.0,938.0,5456.0
11,0.0,1.0,0.0,0.286,0.0,3.0,0.0,0.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,-2.79,1311.5,-1.0,938.0,5456.0
12,0.0,1.0,0.0,0.286,0.0,3.0,0.0,0.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,-2.79,1311.5,-1.0,938.0,5456.0
13,0.0,1.0,0.0,0.286,0.0,3.0,0.0,0.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,-2.79,1311.5,-1.0,938.0,5456.0
14,0.0,1.0,0.0,0.286,0.0,3.0,0.0,0.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,-2.79,1311.5,-1.0,938.0,5456.0
15,0.0,1.0,0.0,0.286,0.0,3.0,0.0,0.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,-5.05,1311.5,-1.0,938.0,5456.0
16,0.0,1.0,0.0,0.286,0.0,3.0,0.0,0.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,-5.05,1311.5,-1.0,938.0,5456.0
17,0.0,1.0,0.0,0.286,0.0,3.0,0.0,0.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,-5.05,1311.5,-1.0,938.0,5456.0
18,0.0,1.0,0.0,0.286,0.0,3.0,0.0,0.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,-5.05,1311.5,-1.0,938.0,5456.0
19,0.0,1.0,0.0,0.286,0.0,3.0,0.0,0.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,-5.05,1311.5,-1.0,938.0,5456.0
20,0.0,1.0,0.0,0.286,0.0,3.0,0.0,0.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,5.56,-5.05,1311.5,-1.0,938.0,5456.0
21,0.0,1.0,0.0,0.286,0.0,3.0,0.0,0.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,5.56,-5.05,1311.5,-1.0,938.0,5456.0
22,1.0,2.0,0.143,0.4289999999999999,3.0,6.0,0.429,1.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,5.56,-6.71,1311.5,-1.0,938.0,5456.0
23,0.0,2.0,0.143,0.572,0.0,6.0,0.429,1.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,5.56,-6.71,1311.5,-1.0,938.0,5456.0
