days_passed,new_cases,total_cases,new_cases_smoothed,total_cases_smoothed,new_deaths,total_deaths,new_deaths_smoothed,total_deaths_smoothed,new_vaccinations_smoothed,total_vaccinations,total_vaccinations_smooth,new_people_vaccinated_smoothed,total_people_vaccinated,total_people_vaccinated_smooth,people_fully_vaccinated,people_fully_vaccinated_smooth,total_boosters,total_boosters_smooth,reproduction_rate,excess_mortality,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions
1,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,-19.0,-19.0,-19.0,-19.0,-19.0,-19.0,-21.0,0.0,-38.0,0.0,0.00044538524026745,-0.3900915106195367,19285.5,112602.5,2868.5,73645.0
2,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,-19.0,-19.0,-38.0,-19.0,-19.0,-38.0,-21.0,0.0,-38.0,0.0,0.00044538524026745,-0.3900915106195367,19285.5,112452.5,2804.5,73452.0
3,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,-19.0,-19.0,-57.0,-19.0,-19.0,-57.0,-21.0,0.0,-38.0,0.0,0.00044538524026745,-0.3900915106195367,19285.5,112602.5,2868.5,73645.0
4,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,-19.0,-19.0,-76.0,-19.0,-19.0,-76.0,-21.0,0.0,-38.0,0.0,0.00044538524026745,-0.3900915106195367,19285.5,112602.5,2868.5,73645.0
5,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,-19.0,-19.0,-95.0,-19.0,-19.0,-95.0,-21.0,0.0,-38.0,0.0,0.00044538524026745,-0.3900915106195367,19285.5,112602.5,2868.5,73645.0
6,0.0,2.0,0.286,0.286,0.0,3.0,0.429,0.429,-19.0,-19.0,-114.0,-19.0,-19.0,-114.0,-21.0,0.0,-38.0,0.0,0.00044538524026745,-0.3900915106195367,19285.5,112602.5,2868.5,73645.0
7,0.0,2.0,0.286,0.572,0.0,3.0,0.429,0.858,-19.0,-19.0,-133.0,-19.0,-19.0,-133.0,-21.0,0.0,-38.0,0.0,0.00044538524026745,-0.3900915106195367,19285.5,112602.5,2868.5,73645.0
8,45.0,47.0,6.428999999999999,7.000999999999999,1.0,4.0,0.143,1.001,-19.0,-19.0,-152.0,-19.0,-19.0,-152.0,-21.0,0.0,-38.0,0.0,0.00044538524026745,-0.3897148798489172,19285.5,112602.5,2868.5,73645.0
9,0.0,47.0,6.428999999999999,13.43,0.0,4.0,0.143,1.144,-19.0,-19.0,-171.0,-19.0,-19.0,-171.0,-21.0,0.0,-38.0,0.0,0.00044538524026745,-0.3897148798489172,19285.5,112602.5,2868.5,73645.0
10,0.0,47.0,6.428999999999999,19.858999999999998,0.0,4.0,0.143,1.287,-19.0,-19.0,-190.0,-19.0,-19.0,-190.0,-21.0,0.0,-38.0,0.0,0.00044538524026745,-0.3897148798489172,19285.5,112602.5,2868.5,73645.0
11,0.0,47.0,6.428999999999999,26.288,0.0,4.0,0.143,1.43,-19.0,-19.0,-209.0,-19.0,-19.0,-209.0,-21.0,0.0,-38.0,0.0,0.00044538524026745,-0.3897148798489172,19285.5,112602.5,2868.5,73645.0
12,0.0,47.0,6.428999999999999,32.717000000000006,0.0,4.0,0.143,1.573,-19.0,-19.0,-228.0,-19.0,-19.0,-228.0,-21.0,0.0,-38.0,0.0,0.00044538524026745,-0.3897148798489172,19285.5,112602.5,2868.5,73645.0
13,0.0,47.0,6.428999999999999,39.146,0.0,4.0,0.143,1.716,-19.0,-19.0,-247.0,-19.0,-19.0,-247.0,-21.0,0.0,-38.0,0.0,0.00044538524026745,-0.3897148798489172,19285.5,112602.5,2868.5,73645.0
14,0.0,47.0,6.428999999999999,45.574999999999996,0.0,4.0,0.143,1.859,-19.0,-19.0,-266.0,-19.0,-19.0,-266.0,-21.0,0.0,-38.0,0.0,0.00044538524026745,-0.3897148798489172,19285.5,112452.5,2804.5,73452.0
15,90.0,137.0,12.858,58.43300000000001,2.0,6.0,0.286,2.145,-19.0,-19.0,-285.0,-19.0,-19.0,-285.0,-21.0,0.0,-38.0,0.0,0.00044538524026745,-0.3896468717670993,19285.5,112602.5,2868.5,73645.0
16,0.0,137.0,12.858,71.29100000000001,0.0,6.0,0.286,2.431,-19.0,-19.0,-304.0,-19.0,-19.0,-304.0,-21.0,0.0,-38.0,0.0,0.00044538524026745,-0.3896468717670993,19285.5,112602.5,2868.5,73645.0
17,0.0,137.0,12.858,84.14900000000002,0.0,6.0,0.286,2.717,-19.0,-19.0,-323.0,-19.0,-19.0,-323.0,-21.0,0.0,-38.0,0.0,0.00044538524026745,-0.3896468717670993,19285.5,112602.5,2868.5,73645.0
18,0.0,137.0,12.858,97.00700000000002,0.0,6.0,0.286,3.003,-19.0,-19.0,-342.0,-19.0,-19.0,-342.0,-21.0,0.0,-38.0,0.0,0.00044538524026745,-0.3896468717670993,19285.5,112602.5,2868.5,73645.0
19,0.0,137.0,12.858,109.86500000000002,0.0,6.0,0.286,3.289,-19.0,-19.0,-361.0,-19.0,-19.0,-361.0,-21.0,0.0,-38.0,0.0,0.000452397814298708,-0.3896468717670993,19285.5,112602.5,2868.5,73645.0
20,0.0,137.0,12.858,122.723,0.0,6.0,0.286,3.575,-19.0,-19.0,-380.0,-19.0,-19.0,-380.0,-21.0,0.0,-38.0,0.0,0.00045323099141133274,-0.3896468717670993,19285.5,112602.5,2868.5,73645.0
21,0.0,137.0,12.858,135.58100000000002,0.0,6.0,0.286,3.861,-19.0,-19.0,-399.0,-19.0,-19.0,-399.0,-21.0,0.0,-38.0,0.0,0.0004539947370979054,-0.3896468717670993,19285.5,112602.5,2868.5,73645.0
22,1896.0,2032.0,270.85699999999997,406.43799999999993,56.0,62.0,8.0,11.861,-19.0,-19.0,-418.0,-19.0,-19.0,-418.0,-21.0,0.0,-38.0,0.0,0.00045430717851513967,-0.3897202260687232,19285.5,112602.5,2868.5,73645.0
23,0.0,2032.0,270.85699999999997,677.2950000000001,0.0,62.0,8.0,19.861,-19.0,-19.0,-437.0,-19.0,-19.0,-437.0,-21.0,0.0,-38.0,0.0,0.00045455018850632184,-0.3897202260687232,19285.5,112602.5,2868.5,73645.0
24,0.0,2032.0,270.85699999999997,948.1520000000002,0.0,62.0,8.0,27.861,-19.0,-19.0,-456.0,-19.0,-19.0,-456.0,-21.0,0.0,-38.0,0.0,0.00045461961993237395,-0.3897202260687232,19285.5,112602.5,2868.5,73645.0
25,0.0,2032.0,270.85699999999997,1219.009,0.0,62.0,8.0,35.861,-19.0,-19.0,-475.0,-19.0,-19.0,-475.0,-21.0,0.0,-38.0,0.0,0.0004532657071243587,-0.3897202260687232,19285.5,112602.5,2868.5,73645.0
26,0.0,2032.0,270.85699999999997,1489.8660000000002,0.0,62.0,8.0,43.861,-19.0,-19.0,-494.0,-19.0,-19.0,-494.0,-21.0,0.0,-38.0,0.0,0.00045243253001173405,-0.3897202260687232,19285.5,112602.5,2868.5,73645.0
27,0.0,2032.0,270.85699999999997,1760.723,0.0,62.0,8.0,51.861000000000004,-19.0,-19.0,-513.0,-19.0,-19.0,-513.0,-21.0,0.0,-38.0,0.0,0.0004516340686121353,-0.3902252355461128,19285.5,112602.5,2868.5,73645.0
28,0.0,2032.0,270.85699999999997,2031.58,0.0,62.0,8.0,59.86099999999999,-19.0,-19.0,-532.0,-19.0,-19.0,-532.0,-21.0,0.0,-38.0,0.0,0.00045114804862977096,-0.3902252355461128,19285.5,112602.5,2868.5,73645.0
29,12538.0,14570.0,1791.144,3822.7240000000006,310.0,372.0,44.286,104.14699999999999,-19.0,-19.0,-551.0,-19.0,-19.0,-551.0,-21.0,0.0,-38.0,0.0,0.00045083560721253667,-0.39032854950807827,19285.5,112602.5,2868.5,73645.0
30,0.0,14570.0,1791.144,5613.8679999999995,0.0,372.0,44.286,148.433,-19.0,-19.0,-570.0,-19.0,-19.0,-570.0,-21.0,0.0,-38.0,0.0,0.0004499677143868859,-0.39032854950807827,19285.5,112602.5,2868.5,73645.0
31,0.0,14570.0,1791.144,7405.012000000002,0.0,372.0,44.286,192.719,-19.0,-19.0,-589.0,-19.0,-19.0,-589.0,-21.0,0.0,-38.0,0.0,0.00044913453727426117,-0.39032854950807827,19285.5,112602.5,2868.5,73645.0
32,0.0,14570.0,1791.144,9196.156000000003,0.0,372.0,44.286,237.005,-19.0,-19.0,-608.0,-19.0,-19.0,-608.0,-21.0,0.0,-38.0,0.0,0.0004486485172918968,-0.39032854950807827,19285.5,112602.5,2868.5,73645.0
33,0.0,14570.0,1791.144,10987.300000000003,0.0,372.0,44.286,281.29099999999994,-19.0,-19.0,-627.0,-19.0,-19.0,-627.0,-21.0,0.0,-38.0,0.0,0.0004478500558922981,-0.39032854950807827,19285.5,112602.5,2868.5,73645.0
34,0.0,14570.0,1791.144,12778.444000000001,0.0,372.0,44.286,325.57700000000006,-19.0,-19.0,-646.0,-19.0,-19.0,-646.0,-21.0,0.0,-38.0,0.0,0.0004473987516229597,-0.39032854950807827,19285.5,112602.5,2868.5,73645.0
35,0.0,14570.0,1791.144,14569.588000000002,0.0,372.0,44.286,369.863,-19.0,-19.0,-665.0,-19.0,-19.0,-665.0,-21.0,0.0,-38.0,0.0,0.0004469821630666473,-0.39032854950807827,19285.5,112602.5,2868.5,73645.0
36,22985.0,37555.0,3283.5730000000003,17853.161000000004,545.0,917.0,77.857,447.72,-19.0,-19.0,-684.0,-19.0,-19.0,-684.0,-21.0,0.0,-38.0,0.0,0.00044670443736243915,-0.3900504419310268,19285.5,112602.5,2868.5,73645.0
37,0.0,37555.0,3283.5730000000003,21136.734000000004,0.0,917.0,77.857,525.5770000000001,-19.0,-19.0,-703.0,-19.0,-19.0,-703.0,-21.0,0.0,-38.0,0.0,0.00044666972164941304,-0.3900504419310268,19285.5,112602.5,2868.5,73645.0
38,0.0,37555.0,3283.5730000000003,24420.307000000004,0.0,917.0,77.857,603.4340000000001,-19.0,-19.0,-722.0,-19.0,-19.0,-722.0,-21.0,0.0,-38.0,0.0,0.0004467391530754651,-0.3900504419310268,19285.5,112602.5,2868.5,73645.0
39,0.0,37555.0,3283.5730000000003,27703.880000000005,0.0,917.0,77.857,681.291,-19.0,-19.0,-741.0,-19.0,-19.0,-741.0,-21.0,0.0,-38.0,0.0,0.00044732932019690756,-0.3900504419310268,19285.5,112452.5,2792.5,73217.5
40,0.0,37555.0,3283.5730000000003,30987.453000000005,0.0,917.0,77.857,759.148,-19.0,-19.0,-760.0,-19.0,-19.0,-760.0,-21.0,0.0,-38.0,0.0,0.0004481624973095323,-0.3900504419310268,19285.5,112602.5,2868.5,73645.0
41,0.0,37555.0,3283.5730000000003,34271.02599999998,0.0,917.0,77.857,837.005,-19.0,-19.0,-779.0,-19.0,-19.0,-779.0,-21.0,0.0,-38.0,0.0,0.0004471210259187515,-0.3900504419310268,19285.5,112602.5,2868.5,73645.0
42,0.0,37555.0,3283.5730000000003,37554.59899999999,0.0,917.0,77.857,914.862,-19.0,-19.0,-798.0,-19.0,-19.0,-798.0,-21.0,0.0,-38.0,0.0,0.00044601012310191846,-0.3900504419310268,19285.5,112602.5,2868.5,73645.0
43,31449.0,69004.0,4492.714,42047.31299999998,864.0,1781.0,123.429,1038.291,-19.0,-19.0,-817.0,-19.0,-19.0,-817.0,-21.0,0.0,-38.0,0.0,0.0004451422302762677,-0.39019902518277827,19285.5,112602.5,2868.5,73645.0
44,0.0,69004.0,4492.714,46540.02699999999,0.0,1781.0,123.429,1161.72,-19.0,-19.0,-836.0,-19.0,-19.0,-836.0,-21.0,0.0,-38.0,0.0,0.00044455206315482525,-0.39019902518277827,19285.5,112602.5,2868.5,73645.0
45,0.0,69004.0,4492.714,51032.74099999997,0.0,1781.0,123.429,1285.1490000000001,-19.0,-19.0,-855.0,-19.0,-19.0,-855.0,-21.0,0.0,-38.0,0.0,0.00044403132745943484,-0.39019902518277827,19285.5,112602.5,2868.5,73645.0
46,0.0,69004.0,4492.714,55525.454999999965,0.0,1781.0,123.429,1408.5779999999997,-19.0,-19.0,-874.0,-19.0,-19.0,-874.0,-21.0,0.0,-38.0,0.0,0.0004436841703291745,-0.39019902518277827,19285.5,112602.5,2868.5,73645.0
47,0.0,69004.0,4492.714,60018.16899999997,0.0,1781.0,123.429,1532.0069999999998,-19.0,-19.0,-893.0,-19.0,-19.0,-893.0,-21.0,0.0,-38.0,0.0,0.0004432675817728622,-0.39019902518277827,19285.5,112602.5,2868.5,73645.0
48,0.0,69004.0,4492.714,64510.88299999996,0.0,1781.0,123.429,1655.436,-19.0,-19.0,-912.0,-19.0,-19.0,-912.0,-21.0,0.0,-38.0,0.0,0.0004600005554514085,-0.39019902518277827,19285.5,112602.5,2868.5,73645.0
49,0.0,69004.0,4492.714,69003.59699999998,0.0,1781.0,123.429,1778.865,-19.0,-19.0,-931.0,-19.0,-19.0,-931.0,-21.0,0.0,-38.0,0.0,0.0004597922611732524,-0.39019902518277827,19285.5,112602.5,2868.5,73645.0
